,S11,S21,S31,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31,Real(S21),Imag(S21)
4.066,(-0.1523339918499211-0.04101626249388583j),(-0.2456535168936506+0.9564341284249132j),(-0.0003155041501278359-0.0001826260137253819j),-16.040103707584194,-0.1094554691250356,-68.76490934862275,-164.93036692387736,104.40466293561553,-149.93608040006302,-0.2456535168936506,0.9564341284249132
4.067,(-0.1523586404465888-0.04096929426821958j),(-0.245344467527719+0.9565115379545801j),(-0.0003190125953660713-0.0001845508379732971j),-16.039465167702826,-0.10947178068266428,-68.67010541200416,-164.9491645286784,104.38617750833771,-149.95034248064448,-0.245344467527719,0.9565115379545801
4.068,(-0.1523833179712857-0.04092228730801133j),(-0.2450353351069761+0.956588856707015j),(-0.0003225954430485561-0.0001865163307849264j),-16.038824755097185,-0.10948814293365117,-68.57434844347219,-164.96797567686284,104.3676886522297,-149.96461099609152,-0.2450353351069761,0.956588856707015
4.069,(-0.1524080263559241-0.04087524085056281j),(-0.2447261177186008+0.9566660848277383j),(-0.0003262550810299403-0.0001885237955945698j),-16.038182376118712,-0.10950455830978019,-68.4776181829322,-164.98680080418444,104.34919625540782,-149.97888616003894,-0.2447261177186008,0.9566660848277383
4.07,(-0.1524327676163466-0.04082815409926889j),(-0.2444168133658829+0.9567432224687341j),(-0.0003299940004448951-0.0001905745921396028j),-16.03753793307832,-0.10952102934854901,-68.37989371679284,-165.00564036521888,104.33070020115571,-149.993168195346,-0.2444168133658829,0.9567432224687341
4.071,(-0.1524575438569114-0.04078102622176191j),(-0.2441074199636483+0.9568202697888024j),(-0.0003338148013530346-0.0001926701395337628j),-16.036891324025767,-0.10953755869892226,-68.2811534495536,-165.0244948343913,104.31220036766084,-150.00745733460045,-0.2441074199636483,0.9568202697888024
4.072,(-0.1524823572753801-0.04073385634793225j),(-0.2437979353333516+0.9568972269539254j),(-0.0003377201987581323-0.0001948119195439402j),-16.03624244251444,-0.10955414912760714,-68.1813750738324,-165.0433647070723,104.29369662773192,-150.02175382065582,-0.2437979353333516,0.9568972269539254
4.073,(-0.1525072101681333-0.04068664356781784j),(-0.2434883571978775+0.9569740941376714j),(-0.0003417130290309268-0.0001970014800863862j),-16.035591177350334,-0.10957080352557047,-68.08053553872824,-165.0622505007465,104.27518884849937,-150.03605790720457,-0.2434883571978775,0.9569740941376714
4.074,(-0.1525321049357395-0.04063938692934851j),(-0.2431786831759689+0.9570508715216204j),(-0.0003457962567675133-0.0001992404389597047j),-16.03493741232413,-0.10958752491507422,-67.97861101640567,-165.0811527562611,104.25667689109433,-150.05036985939032,-0.2431786831759689,0.9570508715216204
4.075,(-0.1525570440889063-0.04059208543593652j),(-0.2428689107762677+0.9571275592958115j),(-0.000349972982118104-0.000201530487833513j),-16.034281025924805,-0.10960431645727589,-67.875576866781,-165.10007203915953,104.23816061030556,-150.0646899544619,-0.2428689107762677,0.9571275592958115
4.076,(-0.1525820302548439-0.04054473804389987j),(-0.2425590373909606+0.9572041576592348j),(-0.0003542464486242291-0.0002038733965134345j),-16.03362189103346,-0.1096211814601997,-67.77140760017988,-165.11900894110738,104.21963985421328,-150.0790184824728,-0.2425590373909606,0.9572041576592348
4.077,(-0.1526070661840747-0.04049734365970303j),(-0.2422490602889661+0.9572806668203493j),(-0.0003586200516060911-0.0002062710175050641j),-16.032959874595683,-0.1096381233873695,-67.66607683782249,-165.13796408141906,104.20111446379673,-150.0933557470296,-0.2422490602889661,0.9572806668203493
4.078,(-0.1526321547577272-0.04044990113700445j),(-0.2419389766086383+0.9573570869976318j),(-0.0003630973471455481-0.0002087252909015814j),-16.032294837270623,-0.1096551458670908,-67.5595572699858,-165.15693810869143,104.18258427251406,-150.10770206609362,-0.2419389766086383,0.9573570869976318
4.079,(-0.1526572989953528-0.04040240927348815j),(-0.2416287833499522+0.9574334184201821j),(-0.0003676820617147726-0.0002112382496221687j),-16.031626633054923,-0.10967225270226359,-67.45182061167455,-165.17593170255617,104.164049105852,-150.12205777284024,-0.2416287833499522,0.9574334184201821
4.08,(-0.1526825020633114-0.04035486680746651j),(-0.2413184773661173+0.9575096613283536j),(-0.0003723781025053296-0.0002138120250309323j),-16.030955108879315,-0.10968944788105156,-67.34283755562201,-165.19494557555868,104.14550878084297,-150.13642321658045,-0.2413184773661173,0.9575096613283536
4.081,(-0.152707767283774-0.04030727241423309j),(-0.2410080553545728+0.9575858159744403j),(-0.0003771895685178243-0.0002164488529689566j),-16.03028010417554,-0.10970673558826638,-67.23257772242582,-165.2139804751748,104.12696310554631,-150.15079876375037,-0.2410080553545728,0.9575858159744403
4.082,(-0.1527330981443964-0.04025962470214171j),(-0.2406975138473167+0.9576618826234132j),(-0.0003821207624783277-0.000219151080235399j),-16.029601450411,-0.10972412021760386,-67.12100960760525,-165.23303718597856,104.10841187849127,-150.1651847989746,-0.2406975138473167,0.9576618826234132
4.083,(-0.152758498308722-0.04021192220838985j),(-0.2403868492004966+0.9577378615537082j),(-0.0003871762036543903-0.0002219211715571122j),-16.028918970588393,-0.10974160638485192,-67.00810052534918,-165.252116531973,104.08985488807744,-150.17958172620942,-0.2403868492004966,0.9577378615537082
4.084,(-0.1527839716273804-0.04016416339447953j),(-0.2400760575832113+0.957813753058077j),(-0.0003923606416508062-0.0002247617170902595j),-16.028232478707036,-0.10975919894206457,-66.8938165487053,-165.27121937909877,104.07129191192976,-150.19398996997393,-0.2400760575832113,0.957813753058077
4.085,(-0.1528095221501516-0.04011634664132618j),(-0.239765134965446+0.9578895574445042j),(-0.0003976790712737585-0.0002276754405019734j),-16.027541779182645,-0.10977690299284178,-66.77812244593379,-165.29034663793675,104.05272271620362,-150.2084099766759,-0.239765134965446,0.9578895574445042
4.086,(-0.1528351541389766-0.04006847024398279j),(-0.2394540771050544+0.9579652750371893j),(-0.0004031367485610013-0.0002306652076849928j),-16.026846666221587,-0.10979472390886742,-66.66098161273001,-165.3094992666227,104.03414705483503,-150.2228422160418,-0.2394540771050544,0.9579652750371893
4.087,(-0.1528608720820023-0.04002053240594486j),(-0.2391428795337187+0.9580409061776173j),(-0.0004087392080863542-0.0002337340361639624j),-16.02614692314544,-0.10981266734765051,-66.54235599998657,-165.32867827399326,104.01556466873195,-150.23728718266057,-0.2391428795337187,0.9580409061776173
4.088,(-0.1528866807087552-0.03997253123299517j),(-0.2388315375417646+0.9581164512257028j),(-0.0004144922816581721-0.0002368851052582412j),-16.025442321661274,-0.10983073927183151,-66.42220603674043,-165.34788472298465,103.99697528489969,-150.25174539765143,-0.2388315375417646,0.9581164512257028
4.089,(-0.1529125850065555-0.03992446472654652j),(-0.2385200461617458+0.9581919105610325j),(-0.0004204021185445824-0.0002401217670731629j),-16.024732621072385,-0.10984894596999957,-66.30049054791455,-165.36711973430863,103.97837861549547,-150.26621741046804,-0.2385200461617458,0.9581919105610325
4.09,(-0.1529385902382868-0.03987633077643143j),(-0.2382084001506708+0.9582672845842115j),(-0.0004264752073730165-0.0002434475583996724j),-16.02401756742382,-0.10986729407921932,-66.17716666642454,-165.38638449043282,103.95977435680473,-150.2807038008515,-0.2382084001506708,0.9582672845842115
4.091,(-0.1529647019616589-0.0398281271530856j),(-0.2378965939707281+0.9583425737183165j),(-0.0004327183998679628-0.0002468662136111206j),-16.02329689257621,-0.10988579060952591,-66.05218973918164,-165.40568023989422,103.94116218813096,-150.29520518094793,-0.2378965939707281,0.9583425737183165
4.092,(-0.1529909260501067-0.0397798514990671j),(-0.2375846217683856+0.9584177784104777j),(-0.0004391389366094249-0.0002503816786560433j),-16.022570313200962,-0.10990444297041765,-65.92551322647783,-165.42500830197903,103.92254177059193,-150.30972219760523,-0.2375846217683856,0.9584177784104777
4.093,(-0.1530172687154946-0.03973150131983946j),(-0.2372724773516755+0.9584928991335864j),(-0.0004457444750158329-0.0002539981262572354j),-16.02183752968875,-0.10992325899975543,-65.79708859418238,-165.444370071807,103.9039127458115,-150.32425553486894,-0.2372724773516755,0.9584928991335864
4.094,(-0.1530437365328077-0.0396830739737483j),(-0.2369601541654918+0.95856793638816j),(-0.0004525431197786075-0.0002577199724401169j),-16.021098224962486,-0.10994224699511516,-65.66686519812843,-165.4637670258595,103.88527473449682,-150.33880591669612,-0.2369601541654918,0.95856793638816
