,S11,S21,S31
4.175,(-0.1321349239564031-0.01503475836805135j),(-0.2138870513230517+0.9677650549133245j),(-0.0004400169671434307-0.0002097808335641659j)
4.176,(-0.1321520359021486-0.01498758097077699j),(-0.2135726980573251+0.9678328653347027j),(-0.0004442099880816718-0.000211634684747503j)
4.177,(-0.1321691763418467-0.01494035760917915j),(-0.2132582609534473+0.9679005814175607j),(-0.0004484786352707992-0.0002135217753387269j)
4.178,(-0.1321863468497167-0.01489308732318801j),(-0.2129437383020947+0.9679682032657437j),(-0.0004528249690071978-0.0002154430089611785j)
4.179,(-0.1322035490578922-0.0148457691167958j),(-0.2126291283302212+0.9680357309870202j),(-0.0004572511251128288-0.0002173993222971584j)
4.18,(-0.1322207846590963-0.01479840195639364j),(-0.2123144291981161+0.9681031646932555j),(-0.0004617593184524446-0.0002193916865935556j)
4.181,(-0.132238055409467-0.01475098476901438j),(-0.2119996389962876+0.9681705045006067j),(-0.0004663518465493935-0.0002214211093107458j)
4.182,(-0.1322553631315416-0.01470351644047678j),(-0.2116847557421829+0.968237750529715j),(-0.0004710310935532223-0.0002234886357809566j)
4.183,(-0.1322727097174118-0.01465599581342351j),(-0.2113697773767092+0.9683049029059216j),(-0.0004757995343197491-0.0002255953510433409j)
4.184,(-0.1322900971320604-0.01460842168524525j),(-0.2110547017605616+0.9683719617594859j),(-0.000480659738765891-0.0002277423817238779j)
4.185,(-0.1323075274168915-0.0145607928058848j),(-0.2107395266703352+0.9684389272258231j),(-0.0004856143765193982-0.0002299308980505144j)
4.186,(-0.1323250026934686-0.01451310787551173j),(-0.2104242497944084+0.9685057994457532j),(-0.0004906662217340654-0.0002321621159963448j)
4.187,(-0.1323425251674738-0.01446536554205895j),(-0.2101088687285837+0.9685725785657616j),(-0.0004958181583216675-0.0002344372995146826j)
4.188,(-0.1323600971329043-0.01441756439861131j),(-0.2097933809714647+0.9686392647382797j),(-0.0005010731854003498-0.0002367577629541887j)
4.189,(-0.1323777209765227-0.01436970298063606j),(-0.2094777839195552+0.9687058581219811j),(-0.0005064344230923674-0.0002391248735785118j)
4.19,(-0.1323953991825789-0.01432177976304454j),(-0.209162074862059+0.9687723588820937j),(-0.0005119051187424554-0.0002415400542541339j)
4.191,(-0.1324131343378239-0.01427379315707089j),(-0.2088462509753585+0.9688387671907316j),(-0.0005174886533971273-0.0002440047863258794j)
4.192,(-0.1324309291368359-0.01422574150695677j),(-0.2085303093171453+0.9689050832272497j),(-0.0005231885488212075-0.0002465206126298396j)
4.193,(-0.132448786387682-0.01417762308642616j),(-0.2082142468201874+0.9689713071786159j),(-0.0005290084748659176-0.000249089140725364j)
4.194,(-0.1324667090179413-0.01412943609493551j),(-0.2078980602856924+0.9690374392398127j),(-0.000534952257315815-0.0002517120463377604j)
4.195,(-0.1324847000811141-0.01408117865368245j),(-0.2075817463762488+0.9691034796142576j),(-0.0005410238863172926-0.0002543910769891586j)
4.196,(-0.1325027627634496-0.01403284880135312j),(-0.2072653016083034+0.9691694285142552j),(-0.0005472275252328721-0.0002571280559002735j)
4.197,(-0.1325209003912227-0.0139844444895905j),(-0.2069487223441453+0.9692352861614769j),(-0.0005535675201978073-0.0002599248861235613j)
4.198,(-0.1325391164384933-0.01393596357815965j),(-0.2066320047833565+0.9693010527874735j),(-0.0005600484102370283-0.0002627835549689736j)
4.199,(-0.1325574145353893-0.01388740382978843j),(-0.2063151449536901+0.969366728634219j),(-0.000566674938078139-0.0002657061387209278j)
